ID,NAME,PARENTROLE.DeveloperName,ROLLUPDESCRIPTION,OPPORTUNITYACCESSFORACCOUNTOWNER,CASEACCESSFORACCOUNTOWNER,CONTACTACCESSFORACCOUNTOWNER,FORECASTUSERID,MAYFORECASTMANAGERSHARE,DEVELOPERNAME,PORTALACCOUNTID,PORTALTYPE,PORTALACCOUNTOWNERID
00E29000000ZQHZEA4,ASISTENTE BANCA EMPRESAS IQUITOS,EJECUTIVO_BANCA_EMPRESAS_IQUITOS,ASISTENTE BANCA EMPRESAS IQUITOS,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_IQUITOS,,None,
00E29000000ZQHKEA4,ASISTENTE BANCA EMPRESAS LA MOLINA,EJECUTIVO_BANCA_EMPRESAS_LA_MOLINA,ASISTENTE BANCA EMPRESAS LA MOLINA,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_LA_MOLINA,,None,
00E29000000ZQI3EAO,ASISTENTE BANCA EMPRESAS LIMA,EJECUTIVO_BANCA_EMPRESAS_LIMA,ASISTENTE BANCA EMPRESAS LIMA,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_LIMA,,None,
00E29000000ZQGbEAO,ASISTENTE BANCA EMPRESAS LIMA NORTE,EJECUTIVO_BANCA_EMPRESAS_LIMA_NORTE,ASISTENTE BANCA EMPRESAS LIMA NORTE,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_LIMA_NORTE,,None,
00E29000000ZQGqEAO,ASISTENTE BANCA EMPRESAS MIRAFLORES,EJECUTIVO_BANCA_EMPRESAS_MIRAFLORES,ASISTENTE BANCA EMPRESAS MIRAFLORES,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_MIRAFLORES,,None,
00E29000000ZQGREA4,ASISTENTE BANCA EMPRESAS PIURA,EJECUTIVO_BANCA_EMPRESAS_PIURA,ASISTENTE BANCA EMPRESAS PIURA,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_PIURA,,None,
00E29000000ZQGlEAO,ASISTENTE BANCA EMPRESAS REP DE PANAMA,EJECUTIVO_BANCA_EMPRESAS_REP_DE_PANAMA,ASISTENTE BANCA EMPRESAS REP DE PANAMA,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_REP_DE_PANAMA,,None,
00E29000000ZQHAEA4,ASISTENTE BANCA EMPRESAS SANTA CRUZ,EJECUTIVO_BANCA_EMPRESAS_SANTA_CRUZ,ASISTENTE BANCA EMPRESAS SANTA CRUZ,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_SANTA_CRUZ,,None,
00E29000000ZQHuEAO,ASISTENTE BANCA EMPRESAS SAN ISIDRO,EJECUTIVO_BANCA_EMPRESAS_SAN_ISIDRO,ASISTENTE BANCA EMPRESAS SAN ISIDRO,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_SAN_ISIDRO,,None,
00E29000000ZQGWEA4,ASISTENTE BANCA EMPRESAS TRUJILLO,EJECUTIVO_BANCA_EMPRESAS_TRUJILLO,ASISTENTE BANCA EMPRESAS TRUJILLO,Edit,Edit,Edit,,false,ASISTENTE_BANCA_EMPRESAS_TRUJILLO,,None,
00E29000000ZQEfEAO,ASISTENTE BANCA INSTITUCIONAL,EJECUTIVO_BANCA_INSTITUCIONAL,ASISTENTE BANCA INSTITUCIONAL,Edit,Edit,Edit,,false,ASISTENTE_BANCA_INSTITUCIONAL,,None,
00E29000000ZQEpEAO,EJECUTIVO BANCA EMPRESAS AREQUIPA,GERENTE_BANCA_EMPRESAS_AREQUIPA,EJECUTIVO BANCA EMPRESAS AREQUIPA,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_AREQUIPA,,None,
00E29000000ZQEuEAO,EJECUTIVO BANCA EMPRESAS CALLAO,GERENTE_BANCA_EMPRESAS_CALLAO,EJECUTIVO BANCA EMPRESAS CALLAO,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_CALLAO,,None,
00E29000000ZQDDEA4,EJECUTIVO BANCA EMPRESAS CENTRAL,GERENTE_BANCA_EMPRESAS_CENTRAL,EJECUTIVO BANCA EMPRESAS CENTRAL,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_CENTRAL,,None,
00E29000000ZQEzEAO,EJECUTIVO BANCA EMPRESAS CHACARILLA,GERENTE_BANCA_EMPRESAS_CHACARILLA,EJECUTIVO BANCA EMPRESAS CHACARILLA,Edit,Edit,Edit,,false,EJECUTIVO_BANCA_EMPRESAS_CHACARILLA,,None,
