ID,NAME,FPRD__DEFAULT_VALUE__C,FPRD__DEVELOPERNAME__C,FPRD__HEADER__C,FPRD__HEADER_ORDER__C,FPRD__HIDDEN__C,FPRD__IMPORTANT__C,FPRD__LABEL__C,FPRD__LOV_LABELS__C,FPRD__LOV_VALUES__C,FPRD__LOWER_LIMIT__C,FPRD__MANDATORY__C,FPRD__MAP_FIELD__C,FPRD__ORDER__C,FPRD__PRODUCT__C,FPRD__READ_ONLY__C,FPRD__RELATED_MAP_FIELDS__C,FPRD__SECTION_NAME__C,FPRD__SECTION_ORDER__C,FPRD__TYPE__C,FPRD__UPPER_LIMIT__C,FPRD__VALUES_CONTROL_FIELD__C,FPRD__VISIBILITY_CONDITION__C,FPRD__VISIBILITY_CONTROL_FIELD__C,FPRD__VISIBILITY_CONTROL_VALUE__C,FPRD__PRODUCT__R.UNIQUE_ID__C,FPRD__PRODUCT__R.NAME
a0i3B000000pysFQAQ,PC-000503,02,da_Line_Excess_PC00007,false,,false,false,Exceso 25% linea,"Si,No","01,02",,false,da_Line_Excess__c,13,01t3B00000215lGQAQ,false,,Datos adicionales,2,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pynvQAA,PC-000235,04,da_Replacement_Reason_PC00007,false,,false,false,Motivo de reemplazo,"Solarización,Dolarización,Protesto,Pre a Post,Pre a Post Sepymex,Cap. Intereses","01,02,03,04,05,06",,false,da_Replacement_Reason__c,5,01t3B00000215lGQAQ,false,,Datos adicionales,2,LIST,,,,da_Replacement_financing_PC00007,Si,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pynzQAA,PC-000239,,Cuenta_vinculada_PC00007,false,,false,false,Cuenta vinculada,,,,false,cpliq_Cuenta_vinculada__c,1,01t3B00000215lGQAQ,false,,Criterios de pago y liquidación,3,text,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyo5QAA,PC-000245,,da_Importer_PC00007,false,,false,false,Importador,,,,false,da_Importer__c,6,01t3B00000215lGQAQ,false,,Datos adicionales,2,text,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pytTQAQ,PC-000579,,Fecha_Vencimiento_PC00007,false,,false,false,Fecha de vencimiento,,,,false,cpliq_Fecha_Vencimiento__c,5,01t3B00000215lGQAQ,false,,Criterios de pago y liquidación,3,date,,,,Tipo_amortizacion_PC00007,Al vencimiento,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pylIQAQ,PC-000072,100,gipr_Cobertura_PC00007,false,,false,false,Cobertura (%),,,,false,gipr_Cobertura__c,10,01t3B00000215lGQAQ,false,,Información general del producto,1,number,,,,gipr_Tipo_garantia_PC00007,"Dineraria,No dineraria",161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pylLQAQ,PC-000075,02,gipr_Comex_Bag_PC00007,false,,false,false,Bolsa Comex,"Si,No","01,02",,false,gipr_Comex_Bag__c,7,01t3B00000215lGQAQ,false,,Información general del producto,1,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pym8QAA,PC-000124,,n_Gracia_PC00007,false,,false,false,Plazo de gracia,,,,false,cpliq_n_gracia__c,5,01t3B00000215lGQAQ,false,,Criterios de pago y liquidación,3,number,,,,Tipo_amortizacion_PC00007,En cuotas,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pymZQAQ,PC-000151,,Amortizacion_PC00007,false,,false,false,Amortización,"Mensual,Trimestral,Semestral,Anual","01,02,03,04",,false,cpliq_Amortizacion__c,7,01t3B00000215lGQAQ,false,,Criterios de pago y liquidación,3,LIST,,,,Tipo_amortizacion_PC00007,En cuotas,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyr9QAA,PC-000435,,da_Observations_PC00007,false,,false,false,Observaciones,,,,false,da_Observations__c,14,01t3B00000215lGQAQ,false,,Datos adicionales,2,textArea,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pysMQAQ,PC-000510,,da_Riesgo_Aprobado_PC00007,false,,false,false,Riesgo Aprobado,,,,false,da_Approved_Risk__c,11,01t3B00000215lGQAQ,false,,Datos adicionales,2,number,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pylMQAQ,PC-000076,,Codigo_Simulacion_PC00007,false,,false,false,Código simulación,,,,false,cpliq_Codigo_Simulacion__c,,01t3B00000215lGQAQ,false,,Criterios de pago y liquidación,3,text,,,,Tipo_amortizacion_PC00007,A medida,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pytYQAQ,PC-000584,,PlazoIG_PC00007,false,,false,false,Plazo,,,,false,gipr_Plazo__c,5,01t3B00000215lGQAQ,false,,Información general del producto,1,number,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyq0QAA,PC-000364,01,gipr_Tipo_garantia_PC00007,false,,false,false,Tipo garantía,"Dineraria,No dineraria,Sin garantía","01,02,03",,false,gipr_Tipo_Garantia__c,8,01t3B00000215lGQAQ,false,,Información general del producto,1,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyq9QAA,PC-000373,01,gipr_PaymentM_PC00007,false,,false,false,Medio de Pago,"Sin medio de pago,Carta de crédito,Cobranza documentaria,Transferencia","01,02,03,04",,false,gipr_Payment_Method__c,11,01t3B00000215lGQAQ,false,,Información general del producto,1,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyrWQAQ,PC-000458,02,Periodicidad_PC00007,false,,false,false,Periodicidad,"Días,Meses","01,02",,false,cpliq_Periodicidad__c,4,01t3B00000215lGQAQ,false,,Criterios de pago y liquidación,3,LIST,,,,Tipo_amortizacion_PC00007,Al vencimiento,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pysTQAQ,PC-000517,,Periodicidad_Gracia_PC00007,false,,false,false,Periodicidad de gracia,"Días,Meses","01,02",,false,cpliq_Periodicidad_gracia__c,6,01t3B00000215lGQAQ,false,,Criterios de pago y liquidación,3,LIST,,,,Tipo_amortizacion_PC00007,En cuotas,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyleQAA,PC-000094,,da_nOperation_PC00007,false,,false,false,N° Operación,,,,false,da_nOperation__c,2,01t3B00000215lGQAQ,false,,Datos adicionales,2,text,,,,da_Replacement_financing_PC00007,Si,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyn7QAA,PC-000185,,da_Amount_PC00007,false,,false,false,Importe,,,,false,da_Amount__c,4,01t3B00000215lGQAQ,false,,Datos adicionales,2,number,,,,da_Replacement_financing_PC00007,Si,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pymvQAA,PC-000173,01,da_Replacement_financing_PC00007,false,,false,false,Financiamiento de reemplazo,"No,Si","01,02",,false,da_Replacement_financing__c,1,01t3B00000215lGQAQ,false,,Datos adicionales,2,LIST,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyqPQAQ,PC-000389,,n_PC00007,false,,false,false,Plazo,,,,false,cpliq_n__c,3,01t3B00000215lGQAQ,false,,Criterios de pago y liquidación,3,number,,,,Tipo_amortizacion_PC00007,Al vencimiento,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyndQAA,PC-000217,02,gipr_Garantia_PC00007,false,,false,false,Garantía,"Cuenta en garantía,Depósito cuenta a plazo,Super depósitos,Acciones y bono,Cartas de crédito,Certificados bancarios,Fianza bancaria,Fondos mutuos,Hipoteca,Leasing,Prenda agrícola,Prenda industrial,Prenda minera,Prenda transporte,Prenda vehicular,Warrants","01,02,03,04,05,06,07,09,10,11,12,13,14,15,16,17",,false,gipr_Garantia__c,9,01t3B00000215lGQAQ,false,,Información general del producto,1,LIST,,gipr_Tipo_garantia_PC00007,,gipr_Tipo_garantia_PC00007,"No dineraria,Dineraria",161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyolQAA,PC-000287,,da_Client_Email_PC00007,false,,false,false,E-mail del cliente,,,,false,da_Client_Email__c,9,01t3B00000215lGQAQ,false,,Datos adicionales,2,text,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pyotQAA,PC-000295,,da_Used_Risk_PC00007,false,,false,false,Riesgo Utilizado,,,,false,da_Used_Risk__c,11,01t3B00000215lGQAQ,false,,Datos adicionales,2,number,,,,,,161710,Financiamiento de Exportación Pre Embarque
a0i3B000000pytxQAA,PC-000609,02,da_Currency_PC00007,false,,false,false,Moneda,"PEN,USD,EUR","01,02,03",,false,da_Currency__c,3,01t3B00000215lGQAQ,false,,Datos adicionales,2,LIST,,,,da_Replacement_financing_PC00007,Si,161710,Financiamiento de Exportación Pre Embarque
